time,open,high,low,close,volume
2024-04-23T09:15:00+05:30,22447.05,22447.55,22395.85,22408.55,0
2024-04-23T09:16:00+05:30,22404.9,22408.3,22395.35,22404.25,0
2024-04-23T09:17:00+05:30,22399.85,22403.65,22393.1,22396.35,0
2024-04-23T09:18:00+05:30,22398.35,22413.25,22398.35,22411.4,0
2024-04-23T09:19:00+05:30,22408.3,22419.35,22406.45,22419.35,0
2024-04-23T09:20:00+05:30,22414.75,22427.4,22413.65,22423.8,0
2024-04-23T09:21:00+05:30,22427.45,22431.25,22414.55,22421.85,0
2024-04-23T09:22:00+05:30,22421.45,22426.45,22415.4,22417.1,0
2024-04-23T09:23:00+05:30,22416.9,22418.4,22398.9,22401.1,0
2024-04-23T09:24:00+05:30,22402.15,22403.9,22395.65,22399.55,0
2024-04-23T09:25:00+05:30,22397.85,22399.25,22390.4,22392.2,0
2024-04-23T09:26:00+05:30,22392.3,22408.35,22389.25,22406.1,0
2024-04-23T09:27:00+05:30,22406.95,22410.9,22395.65,22396.9,0
2024-04-23T09:28:00+05:30,22397.3,22399.6,22392.45,22394.9,0
2024-04-23T09:29:00+05:30,22393.8,22404.0,22389.95,22399.1,0
2024-04-23T09:30:00+05:30,22400.1,22405.85,22399.0,22405.85,0
2024-04-23T09:31:00+05:30,22404.35,22405.95,22390.35,22392.5,0
2024-04-23T09:32:00+05:30,22393.5,22408.95,22393.5,22404.2,0
2024-04-23T09:33:00+05:30,22404.0,22404.95,22398.85,22401.3,0
2024-04-23T09:34:00+05:30,22400.65,22401.5,22390.05,22390.1,0
2024-04-23T09:35:00+05:30,22388.2,22392.6,22386.55,22391.25,0
2024-04-23T09:36:00+05:30,22390.85,22392.8,22386.5,22388.0,0
2024-04-23T09:37:00+05:30,22388.2,22391.9,22383.0,22387.85,0
2024-04-23T09:38:00+05:30,22387.05,22392.45,22385.7,22391.05,0
2024-04-23T09:39:00+05:30,22391.95,22398.65,22391.55,22396.2,0
2024-04-23T09:40:00+05:30,22395.4,22397.9,22393.15,22393.15,0
2024-04-23T09:41:00+05:30,22393.4,22403.8,22392.3,22403.35,0
2024-04-23T09:42:00+05:30,22403.4,22406.1,22401.6,22401.95,0
2024-04-23T09:43:00+05:30,22402.35,22405.8,22400.5,22400.5,0
2024-04-23T09:44:00+05:30,22398.9,22400.75,22395.8,22398.65,0
2024-04-23T09:45:00+05:30,22399.5,22400.15,22391.95,22394.25,0
2024-04-23T09:46:00+05:30,22393.65,22394.95,22383.75,22386.0,0
2024-04-23T09:47:00+05:30,22386.55,22387.15,22375.65,22376.1,0
2024-04-23T09:48:00+05:30,22378.0,22378.3,22368.8,22370.65,0
2024-04-23T09:49:00+05:30,22370.85,22383.55,22369.6,22382.45,0
2024-04-23T09:50:00+05:30,22383.7,22388.65,22377.6,22386.25,0
2024-04-23T09:51:00+05:30,22386.2,22387.65,22382.0,22385.2,0
2024-04-23T09:52:00+05:30,22385.6,22394.35,22383.8,22393.2,0
2024-04-23T09:53:00+05:30,22392.35,22396.45,22388.3,22389.1,0
2024-04-23T09:54:00+05:30,22388.2,22391.9,22382.4,22382.9,0
2024-04-23T09:55:00+05:30,22384.5,22388.85,22380.75,22385.2,0
2024-04-23T09:56:00+05:30,22383.95,22389.3,22383.3,22388.75,0
2024-04-23T09:57:00+05:30,22388.65,22392.0,22387.4,22390.05,0
2024-04-23T09:58:00+05:30,22391.05,22398.85,22383.95,22397.85,0
